posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
187,188,22:51:41,00:00:00,Susana MINGOL PARCHES,N/D,N/D,F,VET-B,bluetrail,2018
188,189,22:51:46,00:00:00,Jean-Noel HUILLERY,N/D,N/D,M,VET-B,bluetrail,2018
189,190,22:51:52,00:00:00,Cecilio DÍAZ-PADILLA,N/D,N/D,M,SENIOR,bluetrail,2018
190,191,22:52:47,00:00:00,Jose-Manuel GARCIA-LUIS,N/D,N/D,M,VET-B,bluetrail,2018
191,192,22:53:17,00:00:00,Idaira HERNANDEZ HERNANDEZ,N/D,N/D,F,SENIOR,bluetrail,2018
192,193,22:53:53,00:00:00,Kerstin DECKERT,N/D,N/D,F,VET-A,bluetrail,2018
193,194,22:57:05,00:00:00,Marceliano DIAZ-RODRIGUEZ,N/D,N/D,M,VET-B,bluetrail,2018
194,195,22:57:39,00:00:00,Elizabeth CABRERA-SÁNCHEZ,N/D,N/D,F,VET-A,bluetrail,2018
195,196,22:57:40,00:00:00,Pedro-Antonio MARTIN-PEREZ,N/D,N/D,M,VET-A,bluetrail,2018
196,197,22:57:48,00:00:00,Miguel LOPEZ-JIMENEZ,N/D,N/D,M,VET-A,bluetrail,2018
197,198,23:01:57,00:00:00,Sebastien REMOND,N/D,N/D,M,SENIOR,bluetrail,2018
198,199,23:04:27,00:00:00,Juan ARENAS-CABELLO,N/D,N/D,M,VET-B,bluetrail,2018
199,200,23:06:44,00:00:00,Danuta ORLEWSKA,N/D,N/D,F,VET-A,bluetrail,2018
200,201,23:10:19,00:00:00,Julio GONZALEZ-JIMENEZ,N/D,N/D,M,VET-B,bluetrail,2018
201,202,23:21:43,00:00:00,Christian RAVILY,N/D,N/D,M,VET-B,bluetrail,2018
202,203,23:22:18,00:00:00,Victor-Manuel PEREZ-HERNANDEZ,N/D,N/D,M,VET-A,bluetrail,2018
203,204,23:22:31,00:00:00,Jose-Manuel HERNANDEZ-LINARES,N/D,N/D,M,VET-A,bluetrail,2018
204,205,23:23:15,00:00:00,Kamil WEINBERG,N/D,N/D,M,VET-A,bluetrail,2018
205,206,23:30:19,00:00:00,Javier Alfredo SUAREZ GOMEZ,N/D,N/D,M,VET-A,bluetrail,2018
206,207,23:34:36,00:00:00,Sergio SOLIÑO-CASTIÑEIRA,N/D,N/D,M,SENIOR,bluetrail,2018
207,208,23:34:36,00:00:00,Juan-Carlos RAMOS-QUINTANA,N/D,N/D,M,VET-A,bluetrail,2018
208,209,23:38:35,00:00:00,Gian-Carlo TRENTA,N/D,N/D,M,VET-C,bluetrail,2018
